image_name,optimal_clusters
000000000049,3
000000000030,6
000000000036,25
000000000025,3
000000000034,4
000000000042,22
000000000009,26
000000000061,3
000000000064,11
000000000077,3
000000000071,3
000000000072,26
000000000074,3
000000000081,23
000000000073,26
000000000078,26
000000000086,3
000000000089,24
000000000092,3
000000000094,26
000000000109,3
000000000113,3
000000000110,19
000000000127,26
000000000136,22
000000000133,4
000000000142,4
000000000143,26
000000000138,14
000000000149,3
000000000144,13
000000000151,4
000000000154,21
000000000164,8
000000000165,19
000000000192,6
000000000194,4
000000000201,18
000000000196,26
000000000208,3
000000000247,25
000000000241,18
000000000260,4
000000000257,26
000000000250,3
000000000283,3
000000000263,26
000000000294,11
000000000308,3
000000000307,3
000000000309,4
000000000312,3
000000000315,3
000000000321,3
000000000326,4
000000000322,9
000000000357,3
000000000338,3
000000000328,21
000000000332,4
000000000359,5
000000000349,4
000000000360,3
000000000368,3
000000000370,24
000000000384,3
000000000382,3
000000000387,4
000000000389,3
000000000394,26
000000000395,18
000000000415,3
000000000397,3
000000000404,3
000000000428,25
000000000419,3
000000000400,3
000000000431,4
000000000436,4
000000000438,3
000000000443,26
000000000446,5
000000000472,5
000000000471,3
000000000474,6
000000000450,24
000000000459,4
000000000491,4
000000000486,26
000000000488,3
000000000490,8
000000000514,8
000000000502,3
000000000508,3
000000000510,3
000000000520,3
000000000536,4
000000000529,3
000000000532,3
000000000531,3
000000000540,3
000000000560,26
000000000542,4
000000000544,26
000000000562,25
000000000564,3
000000000581,5
000000000572,26
000000000569,3
000000000584,25
000000000575,5
000000000590,5
000000000597,3
000000000589,5
000000000595,3
000000000599,19
000000000623,10
000000000605,4
000000000620,5
000000000612,14
000000000625,3
000000000626,4
000000000629,4
000000000634,3
000000000643,5
000000000636,5
000000000641,25
000000000650,3
000000000661,26
000000000656,14
000000000659,8
000000000671,3
000000000670,25
000000000673,4
000000000675,8
000000000699,10
000000000681,3
000000000684,3
000000000690,3
000000000692,16
000000000693,4
000000000714,7
000000000706,3
000000000711,26
000000000715,4
000000000723,3
000000000730,5
000000000722,3
000000000716,3
000000000735,3
000000000731,3
000000000753,3
000000000754,24
000000000764,3
000000000757,11
000000000762,3
000000000761,23
